StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q0,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q11_11_TEXT,Q12,Q13,Q14,Q15,Q16,Q17,Q17_10_TEXT,Q18
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,(Official Use Only) ID,Please provide your WPI username in the textbox below.,Age,Gender,Are you left handed or right handed?,Do you have corrective lenses?,Are you wearing them now?,Do you have any visual impairments (such as color blindness)?,Is English your native language?,"Rate your ability as a computer gamer. (1 = Low Ability, 5 = High Ability)","Rate your ability with playing multiplayer network games. (1 = Low Ability, 5 = High Ability)",Select all the game types you are experienced with. (Multiple choices may be selected) - Selected Choice,Select all the game types you are experienced with. (Multiple choices may be selected) - Others (11) - Text,"How many hours a week, on average do you spend playing video games?",How much time today have you spent playing mouse-based video games before this experiment?,"How many hours a week, on average, do you use a mouse to play games?",Are you a digital artist?,How often do you practice digital artwork?,What is your field of study? (Multiple choices may be selected) - Selected Choice,What is your field of study? (Multiple choices may be selected) - Other (10) - Text,Are there any other factors that may affect your ability to control the cursor that you would like to let us know?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID22""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_11_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID19_10_TEXT""}","{""ImportId"":""QID20_TEXT""}"
2018-04-13 10:54:28,2018-04-13 10:57:52,0,130.215.24.220,100,203,1,2018-04-13 10:57:52,R_2TH2Uhq5mn05pdR,,,,,42.285705566406,-71.829200744629,anonymous,EN,1841302,MaPuentes,20,1,2,2,2,2,1,3,3,"1,5,6",,2,1,1,2,1,6,,No
2018-04-13 10:48:19,2018-04-13 11:01:15,0,130.215.24.214,100,775,1,2018-04-13 11:01:15,R_3gTRBgAFpd6RLzs,,,,,42.285705566406,-71.829200744629,anonymous,EN,1841303,hmjauris,21,2,1,2,2,2,1,3,1,"4,5,6,8",,4,1,2,2,1,7,,
2018-04-13 11:13:36,2018-04-13 12:03:13,0,130.215.24.212,100,2976,1,2018-04-13 12:03:13,R_C8rC339vijTx7WN,,,,,42.285705566406,-71.829200744629,anonymous,EN,1841304,cjgranof,20,1,2,1,1,2,1,4,4,"1,5,8",,5,1,3,1,4,6,,I'm only really used to my mouse.
2018-04-13 11:13:39,2018-04-13 12:03:17,0,130.215.24.220,100,2978,1,2018-04-13 12:03:18,R_RUL0rJaeWEYzDYl,,,,,42.285705566406,-71.829200744629,anonymous,EN,1841305,vjthornton,18,2,1,2,2,2,1,3,3,"1,2,3,4,5,6,7,8,9",,2,1,2,2,1,"3,6",,
2018-04-13 12:16:21,2018-04-13 12:48:31,0,130.215.24.220,100,1930,1,2018-04-13 12:48:32,R_OHkTSS3rGRThGPn,,,,,42.285705566406,-71.829200744629,anonymous,EN,1841307,aesteeves,18,2,2,1,1,1,1,3,3,"1,2,3,4,5,6,7,8",,4,3,3,2,1,7,,
2018-04-13 12:45:35,2018-04-13 12:49:50,0,130.215.24.212,100,254,1,2018-04-13 12:49:50,R_27faWItq9Ar09BZ,,,,,42.285705566406,-71.829200744629,anonymous,EN,1841306,pppiyawiroj,17,2,2,1,1,2,1,3,2,"1,2,3,4,5,6,8,9,10",,2,1,2,2,1,6,,
2018-04-13 11:13:27,2018-04-13 12:57:19,0,130.215.24.214,100,6232,1,2018-04-13 12:57:20,R_3R3eNYYQ02yxZtv,,,,,42.285705566406,-71.829200744629,anonymous,EN,1841308,pnalamlieng,20,1,2,1,1,1,2,4,4,"1,9",,3,1,3,2,1,10,industrial engineering,
2018-04-13 12:58:51,2018-04-13 13:01:59,0,130.215.24.220,100,188,1,2018-04-13 13:02:00,R_3Hkliq4t2w4wlBc,,,,,42.285705566406,-71.829200744629,anonymous,EN,1841309,jakajon,20,1,2,1,1,2,1,4,3,"1,2,3,4,5,7,8,9",,2,1,1,2,1,6,,
2018-04-13 13:01:35,2018-04-13 13:03:46,0,130.215.24.212,100,131,1,2018-04-13 13:03:47,R_0TlsugIZ6b4GL8B,,,,,42.285705566406,-71.829200744629,anonymous,EN,1841310,pkongpornjaras,20,1,2,2,2,2,2,3,3,1,,3,1,3,2,1,10,Industrial Engineering,
2018-04-13 13:12:13,2018-04-13 13:14:08,0,130.215.24.214,100,114,1,2018-04-13 13:14:08,R_1eFVp1SfLFUsTaP,,,,,42.285705566406,-71.829200744629,anonymous,EN,1841311,aditthapron,22,1,2,1,1,2,2,2,3,"2,8",,2,2,2,2,1,6,,
2018-04-13 15:47:38,2018-04-13 15:50:19,0,130.215.24.220,100,161,1,2018-04-13 15:50:20,R_3P5cCNmhznijtsM,,,,,42.285705566406,-71.829200744629,anonymous,EN,201841312,sthuynh,22,1,2,1,1,2,1,2,1,"5,8,11",Action RPGs (e.g. Kingdom Hearts),2,1,1,2,1,"6,7",,I'm tired.
2018-04-16 11:50:06,2018-04-16 12:00:45,0,130.215.24.212,100,639,1,2018-04-16 12:00:46,R_3hDsftX7Dfq0fQt,,,,,42.285705566406,-71.829200744629,anonymous,EN,1841601,mpbreeden,18,2,2,2,2,2,1,4,4,"2,3,4,5,6,8,9,10",,3,2,3,2,2,8,,"Due to a neck injury, I am currently on a medication that may cause drowsiness."
2018-04-16 12:24:06,2018-04-16 12:26:34,0,130.215.24.212,100,147,1,2018-04-16 12:26:34,R_QmMqw1hz6Xz06Hf,,,,,42.285705566406,-71.829200744629,anonymous,EN,1841602,jadesmond,21,1,2,2,2,2,1,5,4,"1,7,10",,3,1,3,2,1,6,,"My mouse DPI might be off, I forget what my DPI is usually. I might want to change the mouse to make sure it's at least close to what I'm used to. But I've had the same DPI for years and never change it."
2018-04-16 12:32:15,2018-04-16 12:34:07,0,130.215.24.220,100,112,1,2018-04-16 12:34:07,R_2BhQ5k7gICccPnk,,,,,42.285705566406,-71.829200744629,anonymous,EN,1841603,rcreynolds,21,2,2,1,1,2,1,4,5,"1,2,3,4,5,6,7,11",RPGs,4,1,3,1,5,"5,7",,Nothing comes to mind.
2018-04-16 11:51:30,2018-04-16 12:42:40,0,130.215.24.214,100,3069,1,2018-04-16 12:42:40,R_3iXteVX4M0NejSq,,,,,42.285705566406,-71.829200744629,anonymous,EN,1841604,kjrosenfeld,20,1,2,2,2,2,1,3,4,"1,4,8,11",RPGs,3,1,1,2,1,7,,
2018-04-17 10:31:08,2018-04-17 10:55:06,0,130.215.24.220,100,1438,1,2018-04-17 10:55:07,R_33qaSVp7LrjboHI,,,,,42.285705566406,-71.829200744629,anonymous,EN,1841701,nsujumnong,26,1,2,1,1,2,2,3,3,"1,2,3,4,5,6,8,9",,4,1,2,1,3,3,,"Reflex, Vision, Surrounding Awareness, Mouse Sensitivity, Mouse Pad Surface, Experience "
2018-04-17 10:56:35,2018-04-17 11:01:32,0,130.215.24.212,100,296,1,2018-04-17 11:01:33,R_3nxEmQMo1ObuxUt,,,,,42.285705566406,-71.829200744629,anonymous,EN,1841702,maford,21,2,2,2,2,2,1,3,1,"1,2,5,6",,2,1,1,2,1,1,,
2018-04-17 10:57:03,2018-04-17 11:06:18,0,130.215.24.214,100,555,1,2018-04-17 11:06:19,R_AtCs1RyYYWAiB5D,,,,,42.285705566406,-71.829200744629,anonymous,EN,1841703,akan,19,2,2,1,1,2,1,2,3,"1,2,4,5,8,10",,1,1,1,2,1,3,,
2018-04-17 11:08:00,2018-04-17 11:10:56,0,130.215.24.220,100,175,1,2018-04-17 11:10:56,R_2AFIPALVVWhb2eI,,,,,42.285705566406,-71.829200744629,anonymous,EN,1841704,mamatticoli,19,1,2,1,1,1,1,3,3,"1,2,3,4,5,6,7,8",,2,1,2,2,1,"6,7",,
2018-04-17 11:15:20,2018-04-17 11:23:52,0,130.215.24.212,100,511,1,2018-04-17 11:23:52,R_3G3tcUqcAxjktsY,,,,,42.285705566406,-71.829200744629,anonymous,EN,1841705,jdshiery,18,1,2,1,1,2,1,4,3,"2,4,5,6,8",,4,1,2,2,2,7,,
2018-04-17 11:22:49,2018-04-17 11:34:17,0,130.215.24.220,100,688,1,2018-04-17 11:34:17,R_1jU3TprlvHIT7Oa,,,,,42.285705566406,-71.829200744629,anonymous,EN,1841706,sadominguez,19,2,1,1,1,2,1,2,2,"4,5,6",,2,3,2,2,1,7,,
